cancer_type,true_K,extracted_K,n_matched,median_cosine,mean_cosine,min_cosine,n_above_0.9,n_above_0.95,exposure_rmse,true_sigs,matched_sigs,missed_sigs,extra_sigs
Breast-AdenoCA,13,13,13,0.9469,0.75,0.0375,7,6,0.072578,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS37 SBS40 SBS41 SBS5 SBS8 SBS9,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS37 SBS40 SBS41 SBS5 SBS8 SBS9,,
Breast-AdenoCA_hypermutator,10,10,10,0.6993,0.6335,0.0022,3,2,0.177638,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS40 SBS41 SBS5,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS3 SBS40 SBS41 SBS5,,
ColoRect-AdenoCA,12,12,12,0.9489,0.7555,0.0409,7,6,0.115189,SBS1 SBS10a SBS10b SBS15 SBS17a SBS17b SBS18 SBS28 SBS37 SBS40 SBS44 SBS5,SBS1 SBS10a SBS10b SBS15 SBS17a SBS17b SBS18 SBS28 SBS37 SBS40 SBS44 SBS5,,
ColoRect-AdenoCA_hypermutator,6,6,6,0.9613,0.81,0.0714,5,4,0.075383,SBS1 SBS10a SBS10b SBS28 SBS37 SBS5,SBS1 SBS10a SBS10b SBS28 SBS37 SBS5,,
Eso-AdenoCA,10,10,10,0.9861,0.89,0.094,8,8,0.112932,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS40 SBS5,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS40 SBS5,,
Eso-AdenoCA_hypermutator,10,10,10,0.9342,0.8036,0.0579,6,1,0.184538,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS40 SBS5,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS40 SBS5,,
Kidney-RCC,12,12,12,0.9638,0.8745,0.0,10,7,0.205588,SBS1 SBS12 SBS13 SBS18 SBS2 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS5,SBS1 SBS12 SBS13 SBS18 SBS2 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS5,,
Kidney-RCC_hypermutator,13,13,13,0.6854,0.5834,0.0046,4,0,0.134888,SBS1 SBS12 SBS13 SBS18 SBS21 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS44 SBS5,SBS1 SBS12 SBS13 SBS18 SBS21 SBS22a SBS22b SBS4 SBS40a SBS40b SBS40c SBS44 SBS5,,
Liver-HCC,20,20,20,0.8186,0.6955,0.0367,8,5,0.187449,SBS1 SBS12 SBS14 SBS16 SBS17a SBS17b SBS18 SBS19 SBS22a SBS24 SBS26 SBS29 SBS30 SBS31 SBS35 SBS4 SBS40 SBS5 SBS6 SBS9,SBS1 SBS12 SBS14 SBS16 SBS17a SBS17b SBS18 SBS19 SBS22a SBS24 SBS26 SBS29 SBS30 SBS31 SBS35 SBS4 SBS40 SBS5 SBS6 SBS9,,
Liver-HCC_hypermutator,13,13,13,0.7096,0.6789,0.2078,4,3,0.171841,SBS1 SBS12 SBS14 SBS16 SBS19 SBS22a SBS26 SBS29 SBS35 SBS4 SBS40 SBS5 SBS6,SBS1 SBS12 SBS14 SBS16 SBS19 SBS22a SBS26 SBS29 SBS35 SBS4 SBS40 SBS5 SBS6,,
Lung-AdenoCA,12,12,12,0.9137,0.7549,0.0002,7,5,0.196757,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS4 SBS40 SBS5 SBS9,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS4 SBS40 SBS5 SBS9,,
Lung-AdenoCA_hypermutator,11,11,11,0.4448,0.4929,0.004,2,0,0.206955,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS4 SBS40 SBS5,SBS1 SBS13 SBS17a SBS17b SBS18 SBS2 SBS28 SBS3 SBS4 SBS40 SBS5,,
Ovary-AdenoCA,11,11,11,0.8793,0.7647,0.1098,5,4,0.12599,SBS1 SBS13 SBS18 SBS2 SBS3 SBS35 SBS39 SBS40 SBS41 SBS5 SBS8,SBS1 SBS13 SBS18 SBS2 SBS3 SBS35 SBS39 SBS40 SBS41 SBS5 SBS8,,
Ovary-AdenoCA_hypermutator,9,9,9,0.8253,0.7369,0.122,2,0,0.151124,SBS1 SBS13 SBS18 SBS2 SBS26 SBS3 SBS40 SBS41 SBS5,SBS1 SBS13 SBS18 SBS2 SBS26 SBS3 SBS40 SBS41 SBS5,,
Skin-Melanoma,12,12,12,0.4844,0.4907,0.0005,3,2,0.147431,SBS1 SBS13 SBS17a SBS17b SBS2 SBS38 SBS40 SBS5 SBS7a SBS7b SBS7c SBS7d,SBS1 SBS13 SBS17a SBS17b SBS2 SBS38 SBS40 SBS5 SBS7a SBS7b SBS7c SBS7d,,
Skin-Melanoma_hypermutator,11,11,11,0.1997,0.3656,0.001,0,0,0.290421,SBS1 SBS13 SBS17b SBS2 SBS38 SBS40 SBS5 SBS7a SBS7b SBS7c SBS7d,SBS1 SBS13 SBS17b SBS2 SBS38 SBS40 SBS5 SBS7a SBS7b SBS7c SBS7d,,
Stomach-AdenoCA,16,16,16,0.9686,0.8181,0.0001,11,11,0.071733,SBS1 SBS13 SBS15 SBS17a SBS17b SBS18 SBS2 SBS20 SBS21 SBS26 SBS28 SBS3 SBS40 SBS41 SBS44 SBS5,SBS1 SBS13 SBS15 SBS17a SBS17b SBS18 SBS2 SBS20 SBS21 SBS26 SBS28 SBS3 SBS40 SBS41 SBS44 SBS5,,
Stomach-AdenoCA_hypermutator,9,9,9,0.7657,0.7558,0.0056,4,3,0.166715,SBS1 SBS15 SBS17a SBS17b SBS20 SBS21 SBS26 SBS44 SBS5,SBS1 SBS15 SBS17a SBS17b SBS20 SBS21 SBS26 SBS44 SBS5,,
